pose,rpms,rpy,vel,ang_vel
"[0.0, -2.0, 1.0002029398484455, 0.0, 0.0, 0.0, 1.0]","[14468.5, 14468.5, 14468.5, 14468.5]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]"
"[0.4930352605397008, -0.8922587424124453, 0.9676219609784531, -0.5118799443113252, -0.17286033899971395, 0.18225764601864797, 0.8215110323546969]","[14468.5, 14468.5, 14468.5, 14468.5]","[38.78303239043614, 4.934012241450557, -1.5333450014417203]","[0, 0, 0]","[0, 0, 0]"
"[0.9044205147194707, -1.4333823530858714, 0.18771284436300062, 0.9099183924931515, -0.12440228683598059, -0.36016026950371294, -0.16388157402121323]","[14468.5, 14468.5, 14468.5, 14468.5]","[-53.16878375298883, -53.337431913370075, 13.721005442825474]","[0, 0, 0]","[0, 0, 0]"
"[0.858043228416274, -0.261810712361323, 1.154818376245683, 0.7222614830197421, 0.3920534837306397, -0.5463486699439223, 0.16166492164752005]","[14468.5, 14468.5, 14468.5, 14468.5]","[55.85775897833932, 15.620003667646488, -7.094251658582724]","[0, 0, 0]","[0, 0, 0]"
"[1.5246321712618665, 0.11256464654660109, 0.953357920344185, 0.07349747526014291, -0.13799524550366923, 0.5303873593285053, 0.8332134674939561]","[14468.5, 14468.5, 14468.5, 14468.5]","[-25.614989116348102, 3.717947348832321, 0.8414959615046113]","[0, 0, 0]","[0, 0, 0]"
